race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
2026 포항2차전지 전국마라톤대회,2026-09-13,하프 10km 5km,경북,포항운하관주차장,매일신사,접수중,https://gorunning.kr/races/1175/2026-pohang-secondary-battery-marathon/,gorunning.kr,Tier2
제 16회 스마일 런 페스티벌(예정),2026-09-13,하프 10km 5km,서울,상암동 평화의공원 평화광장,(사)대한치과의사협회,접수마감,https://gorunning.kr/races/1122/16th-smile-run-festival/,gorunning.kr,Tier2
제26회 강화해변마라톤대회,2026-09-13,하프 10km 5km,인천,강화함상공원,"인천일보,(사)인천마라톤조직위",접수마감,https://gorunning.kr/races/1137/26th-ganghwa-beach-marathon/,gorunning.kr,Tier2
2026 울진 금강송배 힐링마라톤,2026-09-13,하프 10km 5km,경북,울진종합운동장,울진군,접수마감,https://gorunning.kr/races/738/2026-uljin-geumgangsong-healing-marathon/,gorunning.kr,Tier2
2026 런서울런,2026-09-13,하프 10km,서울,서울 광장,일간스포츠,접수마감,https://gorunning.kr/races/1167/2026-run-seoul-run/,gorunning.kr,Tier2
제19회 구로구청장배 안양천 단풍 마라톤대회,2026-09-13,10km 5km,서울,구일역 하부 인라인스케이트장,"구로구, 구로구체육회 (주관: 구로구육상연맹)",접수마감,https://gorunning.kr/races/1253/2026-19th-guro-anyangcheon-fall-marathon/,gorunning.kr,Tier2
2026 장수트레일레이스 Fall,2026-09-19,100km 38K-J,전북,장수종합경기장,(주)락앤런,접수마감,https://gorunning.kr/races/925/2026-jangsu-trail-race-fall/,gorunning.kr,Tier2
제18회 사이버 영토 수호 마라톤,2026-09-19,하프 10km 5km,서울,여의도 한강공원 물빛무대,(사)21세기경제사회연구원,접수마감,https://gorunning.kr/races/1154/18th-cyber-territory-marathon/,gorunning.kr,Tier2
2026 JUST RUN10 김해 대동,2026-09-19,10km 5km,경남,김해 대동생태체육공원 축구장,"(주)러닝브레이커, 전국러닝협회",접수중,https://gorunning.kr/races/1191/2026-just-run10-gimhae-daedong/,gorunning.kr,Tier2
2026 안양천 하프 마라톤,2026-09-19,하프 10km 5km,서울,신정교 하부 영롱이 억새구장,(사)행복한가게,접수마감,https://gorunning.kr/races/1198/2026-anyangcheon-half-marathon/,gorunning.kr,Tier2
시포레 RUN & FIT with 디스커버리,2026-09-19,10km,경기,고양시 일산호수공원,HLL중앙 / 코틴스포츠,접수중,https://gorunning.kr/races/1227/2026-cityforestival-run-fit-discovery/,gorunning.kr,Tier2
2026 사찰런,2026-09-19,6.3km,경북,경산 갓바위 소원길,윌슨컴퍼니 주식회사,접수마감,https://gorunning.kr/races/1293/2026-sachal-run/,gorunning.kr,Tier2
2026 청년의날 남동런,2026-09-19,10km 5km,인천,인천대공원,디지틀조선일보C&M,접수마감,https://gorunning.kr/races/1300/2026-namdong-youth-run/,gorunning.kr,Tier2
제2회 경기신문 씨사이드 마라톤,2026-09-19,하프 10km 5km,인천,영종구 씨사이드파크,경기신문,접수마감,https://gorunning.kr/races/1217/2nd-gyeonggi-sinmun-seaside-marathon/,gorunning.kr,Tier2
2026 금산인삼축제 마라톤,2026-09-19,하프 10km 4km,충남,금산세계인삼엑스포주차장,전마협,접수마감,https://gorunning.kr/races/1079/2026-geumsan-ginseng-festival-marathon/,gorunning.kr,Tier2
2026 여수낭도트레일,2026-09-19,13km,전남,여수 화정면낭도출장소앞 주차장,파브코리아,접수중,https://gorunning.kr/races/1259/2026-yeosu-nangdo-trail/,gorunning.kr,Tier2
2026 무한도전 Run in 경주,2026-09-19,하프 10km,경북,경주시민운동장,MBC,접수마감,https://gorunning.kr/races/1258/2026-mudorun-gyeongju/,gorunning.kr,Tier2
제4회 문경 오미자런,2026-09-19,10km 5km,경북,문경종합온천 뒤 주차장,"문경시, 문경시 청년센터",접수마감,https://gorunning.kr/races/1218/4th-mungyeong-omija-run/,gorunning.kr,Tier2
2026 공주마라톤,2026-09-20,풀 32km 하프 10km,충남,공주시민운동장,동아일보,접수마감,https://gorunning.kr/races/1119/2026-gongju-marathon/,gorunning.kr,Tier2
2026 한돈런,2026-09-20,10km 5km,경기,미사 조정경기장,"한돈자조금위원회, 런코리아",접수중,https://gorunning.kr/races/1155/2026-handon-run/,gorunning.kr,Tier2
2026 인천송도국제마라톤대회,2026-09-20,하프 10km 5km,인천,국립 인천대학교 송도캠퍼스 정문(동문) 앞,(주)경인일보,접수중,https://gorunning.kr/races/1194/2026-incheon-songdo-international-marathon/,gorunning.kr,Tier2
2026 울산남구육상연맹 회장배 단축마라톤,2026-09-20,10km 5km,울산,태화강국가정원 내 왕버들 공연,울산광역시 남구 육상연맹,접수중,https://gorunning.kr/races/1208/2026-ulsan-namgu-chairmans-cup-marathon/,gorunning.kr,Tier2
제19회 가평자라섬 전국마라톤,2026-09-20,하프 10km 10km커플런 5km 4.2km패밀리런,경기,가평종합운동장,"가평군체육회, 세계일보",접수마감,https://gorunning.kr/races/927/19th-gapyeong-jaraseom-marathon/,gorunning.kr,Tier2
2026 동대문마라톤,2026-09-20,하프 10km 5km,서울,중랑천 제1수변공원,동대문구육상연맹,접수마감,https://gorunning.kr/races/1136/2026-dongdaemun-marathon/,gorunning.kr,Tier2
